,HUM,HMO,NWR,CHM,RMN,DOG,CBD,CAT,PIG,BFF,CTS,DFT,CHA,WYK,WMS,HOR,GHM,GBR,CBT,ADL,WEH,SMH,ERT,JFB,CVB,TCC,SMB,CEM,PTM,OBB
HUM,0,90,90,6.7,28.81,96,96,96,96,96,82,96,90,96,43.2,96,90,90,159,105,96,105,96,96,96,43.2,29.44,29.44,29.44,29.44
HMO,90,0,20.9,90,90,96,96,96,96,96,90,96,33,96,90,96,33,45,159,105,96,105,96,96,96,90,90,90,90,90
NWR,90,20.9,0,90,90,96,96,96,96,96,90,96,33,96,90,96,33,45,159,105,96,105,96,96,96,90,90,90,90,90
CHM,6.7,90,90,0,29.44,96,96,96,96,96,82,96,90,96,43.2,96,90,90,159,105,96,105,96,96,96,43.2,29.44,29.44,29.44,29.44
RMN,28.81,90,90,29.44,0,96,96,96,96,96,82,96,90,96,43.2,96,90,90,159,105,96,105,96,96,96,43.2,12.4,3.69,5.28,12.4
DOG,96,96,96,96,96,0,81,81,81,81,96,46,96,78,96,77.2,96,96,159,105,89,105,79,79,79,96,96,96,96,96
CBD,96,96,96,96,96,81,0,56,62,79,96,78,96,58,96,78,96,96,159,105,89,105,79,79,79,96,96,96,96,96
CAT,96,96,96,96,96,81,56,0,62,79,96,78,96,4.36,96,78,96,96,159,105,89,105,79,79,79,96,96,96,96,96
PIG,96,96,96,96,96,81,62,62,0,79,96,78,96,62,96,78,96,96,159,105,89,105,79,79,79,96,96,96,96,96
BFF,96,96,96,96,96,81,79,79,79,0,96,79,96,79,96,79,96,96,159,105,89,105,27.4,61.7,61.7,96,96,96,96,96
CTS,82,90,90,82,82,96,96,96,96,96,0,96,90,96,82,96,90,90,159,105,96,105,96,96,96,82,82,82,82,82
DFT,96,96,96,96,96,46,78,78,78,79,96,0,96,78,96,77.2,96,96,159,105,89,105,79,79,79,96,96,96,96,96
CHA,90,33,33,90,90,96,96,96,96,96,90,96,0,96,90,96,18.7,45,159,105,96,105,96,96,96,90,90,90,90,90
WYK,96,96,96,96,96,78,58,4.36,62,79,96,78,96,0,96,78,96,96,159,105,89,105,79,79,79,96,96,96,96,96
WMS,43.2,90,90,43.2,43.2,96,96,96,96,96,82,96,90,96,0,96,90,96,90,90,159,105,96,96,96,18.3,43.2,43.2,43.2,43.2
HOR,96,96,96,96,96,77.2,78,78,78,79,96,77.2,96,78,96,0,96,96,159,105,89,105,79,79,79,96,96,96,96,96
GHM,90,33,33,90,90,96,96,96,96,96,90,96,18.7,96,90,96,0,45,159,105,96,105,96,96,96,90,90,90,90,90
GBR,90,45,45,90,90,96,96,96,96,96,90,96,45,96,96,96,45,0,159,105,96,105,96,96,96,90,90,90,90,90
CBT,159,159,159,159,159,159,159,159,159,159,159,159,159,159,90,159,159,159,0,159,159,159,159,159,159,159,159,159,159,159
ADL,105,105,105,105,105,105,105,105,105,105,105,105,105,105,90,105,105,105,159,0,105,101,105,105,105,105,105,105,105,105
WEH,96,96,96,96,96,89,89,89,89,89,96,89,96,89,159,89,96,96,159,105,0,105,89,89,89,96,96,96,96,96
SMH,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,159,101,105,0,105,105,105,105,105,105,105,105
ERT,96,96,96,96,96,79,79,79,79,27.4,96,79,96,79,96,79,96,96,159,105,89,105,0,61.7,61.7,96,96,96,96,96
JFB,96,96,96,96,96,79,79,79,79,61.7,96,79,96,79,96,79,96,96,159,105,89,105,61.7,0,29.4,96,96,96,96,96
CVB,96,96,96,96,96,79,79,79,79,61.7,96,79,96,79,96,79,96,96,159,105,89,105,61.7,29.4,0,96,96,96,96,96
TCC,43.2,90,90,43.2,43.2,96,96,96,96,96,82,96,90,96,18.3,96,90,90,159,105,96,105,96,96,96,0,43.2,43.2,43.2,43.2
SMB,29.44,90,90,29.44,12.4,96,96,96,96,96,82,96,90,96,43.2,96,90,90,159,105,96,105,96,96,96,43.2,0,12.4,12.4,12.4
CEM,29.44,90,90,29.44,3.69,96,96,96,96,96,82,96,90,96,43.2,96,90,90,159,105,96,105,96,96,96,43.2,12.4,0,5.28,12.4
PTM,29.44,90,90,29.44,5.28,96,96,96,96,96,82,96,90,96,43.2,96,90,90,159,105,96,105,96,96,96,43.2,12.4,5.28,0,12.4
OBB,29.44,90,90,29.44,12.4,96,96,96,96,96,82,96,90,96,43.2,96,90,90,159,105,96,105,96,96,96,43.2,12.4,12.4,12.4,0
